ID,File_name,Report_ID,Site,Prefecture,remains,type,rim_diameter,hight,Reference,Target,Traces_of_processing,Phase
2,KYa758,758,平安京左京四条二坊十四町跡,Kyoto,SK0366,京S,15.0,2.6,（財）京都市埋蔵文化財研究所2003,TRUE,8_不明・不明瞭,京都9B段階
3,KYi470,470,平安京左京四条三坊十二町跡,Kyoto,SK769,京S,13.8,2.7,（財）京都市埋蔵文化財研究所2007,TRUE,8_不明・不明瞭,京都9B段階
4,KYi472,472,平安京左京四条三坊十二町跡,Kyoto,SK769,京S,14.3,3.0,（財）京都市埋蔵文化財研究所2007,TRUE,8_不明・不明瞭,京都9B段階
5,KYi474,474,平安京左京四条三坊十二町跡,Kyoto,SK769,京S,15.9,3.1,（財）京都市埋蔵文化財研究所2007,TRUE,8_不明・不明瞭,京都9B段階
6,KYi475,475,平安京左京四条三坊十二町跡,Kyoto,SK769,京S,16.2,3.2,（財）京都市埋蔵文化財研究所2007,TRUE,8_不明・不明瞭,京都9B段階
7,KYi476,476,平安京左京四条三坊十二町跡,Kyoto,SK769,京S,15.8,3.1,（財）京都市埋蔵文化財研究所2007,TRUE,8_不明・不明瞭,京都9B段階
8,KYi477,477,平安京左京四条三坊十二町跡,Kyoto,SK769,京S,16.5,3.3,（財）京都市埋蔵文化財研究所2007,TRUE,8_不明・不明瞭,京都9B段階
15,KYi496,496,平安京左京四条三坊十二町跡,Kyoto,SK145,京S,11.6,2.6,（財）京都市埋蔵文化財研究所2007,TRUE,8_不明・不明瞭,京都9B段階
16,KYi497,497,平安京左京四条三坊十二町跡,Kyoto,SK145,京S,11.9,2.7,（財）京都市埋蔵文化財研究所2007,TRUE,8_不明・不明瞭,京都9B段階
17,KYi498,498,平安京左京四条三坊十二町跡,Kyoto,SK145,京S,12.1,2.7,（財）京都市埋蔵文化財研究所2007,TRUE,8_不明・不明瞭,京都9B段階
18,KYi499,499,平安京左京四条三坊十二町跡,Kyoto,SK145,京S,12.3,2.6,（財）京都市埋蔵文化財研究所2007,TRUE,8_不明・不明瞭,京都9B段階
19,KYi500,500,平安京左京四条三坊十二町跡,Kyoto,SK145,京S,12.4,2.8,（財）京都市埋蔵文化財研究所2007,TRUE,8_不明・不明瞭,京都9B段階
20,KYi501,501,平安京左京四条三坊十二町跡,Kyoto,SK145,京S,13.8,2.7,（財）京都市埋蔵文化財研究所2007,TRUE,8_不明・不明瞭,京都9B段階
21,KYi502,502,平安京左京四条三坊十二町跡,Kyoto,SK145,京S,14.0,2.6,（財）京都市埋蔵文化財研究所2007,TRUE,8_不明・不明瞭,京都9B段階
22,KYi503,503,平安京左京四条三坊十二町跡,Kyoto,SK145,京S,14.0,2.8,（財）京都市埋蔵文化財研究所2007,TRUE,8_不明・不明瞭,京都9B段階
23,KYi504,504,平安京左京四条三坊十二町跡,Kyoto,SK145,京S,13.8,2.9,（財）京都市埋蔵文化財研究所2007,TRUE,8_不明・不明瞭,京都9B段階
24,KYi505,505,平安京左京四条三坊十二町跡,Kyoto,SK145,京S,15.0,3.0,（財）京都市埋蔵文化財研究所2007,TRUE,8_不明・不明瞭,京都9B段階
25,KYi506,506,平安京左京四条三坊十二町跡,Kyoto,SK145,京S,15.2,3.1,（財）京都市埋蔵文化財研究所2007,TRUE,8_不明・不明瞭,京都9B段階
26,KYi507,507,平安京左京四条三坊十二町跡,Kyoto,SK145,京S,15.1,3.0,（財）京都市埋蔵文化財研究所2007,TRUE,8_不明・不明瞭,京都9B段階
35,KYj010,10,平安京左京四条三坊九町跡,Kyoto,SK144B,京S,11.2,1.8,平尾2019,TRUE,8_不明・不明瞭,京都10A段階
36,KYj011,11,平安京左京四条三坊九町跡,Kyoto,SK144B,京S,11.4,2.0,平尾2019,TRUE,8_不明・不明瞭,京都10A段階
37,KYj012,12,平安京左京四条三坊九町跡,Kyoto,SK144B,京S,11.5,2.0,平尾2019,TRUE,8_不明・不明瞭,京都10A段階
38,KYj013,13,平安京左京四条三坊九町跡,Kyoto,SK144B,京S,11.5,2.1,平尾2019,TRUE,8_不明・不明瞭,京都10A段階
39,KYj014,14,平安京左京四条三坊九町跡,Kyoto,SK144B,京S,11.6,2.2,平尾2019,TRUE,8_不明・不明瞭,京都10A段階
40,KYj017,17,平安京左京四条三坊九町跡,Kyoto,SK144B,京S,13.2,2.1,平尾2019,TRUE,8_不明・不明瞭,京都10A段階
41,KYj018,18,平安京左京四条三坊九町跡,Kyoto,SK144B,京S,13.3,2.0,平尾2019,TRUE,8_不明・不明瞭,京都10A段階
42,KYj019,19,平安京左京四条三坊九町跡,Kyoto,SK144B,京S,13.4,2.1,平尾2019,TRUE,8_不明・不明瞭,京都10A段階
43,KYj020,20,平安京左京四条三坊九町跡,Kyoto,SK144B,京S,13.4,2.2,平尾2019,TRUE,8_不明・不明瞭,京都10A段階
44,KYj022,22,平安京左京四条三坊九町跡,Kyoto,SK144B,京S,13.6,2.0,平尾2019,TRUE,8_不明・不明瞭,京都10A段階
45,KYj023,23,平安京左京四条三坊九町跡,Kyoto,SK144B,京S,13.7,2.2,平尾2019,TRUE,8_不明・不明瞭,京都10A段階
46,KYj024,24,平安京左京四条三坊九町跡,Kyoto,SK144B,京S,13.8,2.3,平尾2019,TRUE,8_不明・不明瞭,京都10A段階
47,KYj025,25,平安京左京四条三坊九町跡,Kyoto,SK144B,京S,14.0,2.1,平尾2019,TRUE,8_不明・不明瞭,京都10A段階
48,KYj026,26,平安京左京四条三坊九町跡,Kyoto,SK144B,京S,14.0,2.3,平尾2019,TRUE,8_不明・不明瞭,京都10A段階
49,KYj027,27,平安京左京四条三坊九町跡,Kyoto,SK144B,京S,14.0,2.2,平尾2019,TRUE,8_不明・不明瞭,京都10A段階
50,KYj028,28,平安京左京四条三坊九町跡,Kyoto,SK144B,京S,14.1,2.2,平尾2019,TRUE,8_不明・不明瞭,京都10A段階
51,KYj029,29,平安京左京四条三坊九町跡,Kyoto,SK144B,京S,14.2,2.3,平尾2019,TRUE,8_不明・不明瞭,京都10A段階
52,KYj033,33,平安京左京四条三坊九町跡,Kyoto,SK144B,京S,14.7,2.4,平尾2019,TRUE,8_不明・不明瞭,京都10A段階
53,KYj036,36,平安京左京四条三坊九町跡,Kyoto,SK144B,京S,15.6,2.1,平尾2019,TRUE,8_不明・不明瞭,京都10A段階
54,KYj037,37,平安京左京四条三坊九町跡,Kyoto,SK144B,京S,15.7,2.5,平尾2019,TRUE,8_不明・不明瞭,京都10A段階